cl1,date,message,TOXICITY,SEVERE_TOXICITY,IDENTITY_ATTACK,INSULT,PROFANITY,THREAT
0,2021-01-01 14:01:02,"Prime Minister Benjamin Netanyahu and Health Minister Yuli Edelstein met this afternoon, at the anti-coronavirus vaccination facility in Umm Al-Fahm, the 1,000,000th person in Israel to be vaccinated. Also participating in the visit were Umm Al-Fahm Mayor Samir Sobhi Mahameed, Clalit Healthcare Services Chairman Harel Locker, Maccabi Healthcare Services Chairman Ran Saar, the official responsible for coronavirus affairs in the Arab sector, Ayman Saif; Jabarin Muhammad (66), a resident of Umm Al-Fahm, was the 1,000,000th person in Israel to be vaccinated. Prime Minister Netanyahu: ""What excitement, Jabarin is the 1,000,000th person in the State of Israel to be vaccinated. We are breaking all of the records. We brought millions of vaccines to the State of Israel. We are ahead of the entire world and now we are ahead of them with our excellent HMOs. We are moving forward at great speed in order to vaccinate the entire population. It is important to me also that the Arab population in the State of Israel be vaccinated quickly. It is important because this saves lives and only thus will we be able to return to normal lives. As soon as we reach a critical mass of people who are vaccinated, we will be able to open commerce, the stores and the restaurants. We will be able to fly abroad, to make deals and travel in all the countries that we have made peace with, peace that has opened the world and is also changing our history, as Israeli society and as a country. There is responsibility and there is a lack of responsibility. The responsibility is to bring the vaccines and distribute them. The lack of responsibility is – at the same time – to allow the disease to run amok. I regret that this has not happened; therefore, I would like to take this opportunity here and say that we will continue to bring vaccines and I call on the public to be vaccinated."" Health Minister Edelstein: ""Now, after the 1,000,000th person to be vaccinated is here with us, it is possible to say with certainty that Israel, with G-d's help, will be the first country in the world to be vaccinated. This is a great achievement. Within a few months, we will be able to say: 'Hasta la vista' to the coronavirus and return to normality. We are all in this together. There is no difference between Jews and Arabs, religious and secular. As long as we are unsuccessful in reaching great numbers of vaccinated people in every place, we will be unable to go out to all of the places that are so important to us all. But we are not there yet and we must strictly adhere to the directives. It is a pity for each person who, instead of being at home, is in serious condition in a coronavirus ward in hospital. Come and let us make another effort to emerge from this with minimal patients and victims and without the virus running amok again."" Photos: Haim Zach, GPO",0.14597784,0.012841163,0.1254559,0.10363407,0.104054,0.046526693
1,2021-01-03 16:00:17,"Albert Einstein's work in civil rights is often unrecognized -- but in 1946, he visited #HBCU Lincoln University of PA and talked with students about racism and his theory of relativity. Here's what went down 👇🏽",0.0729142,0.0025266176,0.073018804,0.059791278,0.008162564,0.012105023
2,2021-01-04 9:24:03,"In The New York Times Opinion Section ""I’m not a regular person. I’m a miracle child. Most of the Jews of Chodorow never returned. So when the coronavirus came, I thought, 'I’m a miracle. I will make it. I have to make it.'"" writes Toby Levy, a Holocaust survivor.",0.14687516,0.0061233323,0.13035503,0.048759483,0.021487774,0.030991552
3,2021-01-06 0:45:32,"A couple was kicked off a flight to Israel after complaining that ultra-Orthodox Jews on the flight would spread coronavirus, an airline representative said.",0.27359754,0.015932554,0.37377727,0.15740685,0.108909644,0.30796856
4,2021-01-10 19:38:57,Anti-Trump Hollywood star Arnold Schwarzenegger has compared the rioters who stormed Capitol Hill last week to the rise of Nazis.,0.28021416,0.013435661,0.2980635,0.31811807,0.03502228,0.048235677
5,2021-01-10 16:15:07,Arnold Schwarzenegger posted an impassioned address to Twitter Sunday morning in which he compared the attempted coup on Capitol Hill last week to the infamous 1938 Nazi attack on Jewish.,0.2712817,0.01724045,0.36934572,0.16313995,0.118202634,0.20006107
6,2021-01-11 19:02:26,"Arnold Schwarzenegger compares attack on the Capitol to Kristallnacht in Nazi Germany: ""It was a night of rampage against the Jews carried out in 1938 by the Nazi equivalent of the Proud Boys."" https://cbsn.ws/35tBTCg",0.19936113,0.011236018,0.2980635,0.11942359,0.026929483,0.16047402
7,2021-01-11 12:50:17,Hollywood actor and former California governor Arnold Schwarzenegger has compared the storming of the U.S. Capitol by supporters of President Donald Trump to Nazi violence against Jews in a deeply personal video posted on Twitter.,0.31650472,0.029891873,0.40420192,0.21187954,0.12799478,0.22530505
8,2021-01-11 10:00:08,"""It was a night of rampage against the Jews carried out in 1938, the Nazi equivalent of the Proud Boys."" Arnold Schwarzenegger slams Trump and compares the Capitol riot to Kristallnacht, when Jewish people were killed in a Nazi rampage. https://trib.al/KYlsWkS (via Bloomberg Quicktake)",0.2885035,0.017597148,0.39414537,0.18625732,0.029720102,0.31229615
9,2021-01-11 1:32:04,"“'President Trump is a failed leader. He will go down in history as the worst president ever.'""",0.5023275,0.03017205,0.09338219,0.648984,0.091914885,0.031435072
10,2021-01-12 22:02:32,"Israel is no longer a democracy but an ""apartheid regime"" devoted to cementing the supremacy of Jews over Palestinians, the country's best-known human rights group said in a report published Tuesday.",0.2712817,0.011771066,0.2980635,0.13701636,0.028743384,0.02529972
11,2021-01-12 10:30:31,A leading Israeli human rights group has begun describing Israel and its control of the Palestinian territories as a single “apartheid” government.,0.11536485,0.0035967145,0.12586091,0.05303712,0.016813485,0.018351253
12,2021-01-12 4:00:26,"Biden enters the White House as hate crimes are on the rise and analysts say white supremacists and other domestic extremists have been emboldened by Trump. The acute challenge he will face was crystallized on Wednesday, when a mob of Trump supporters stormed the Capitol.",0.34575438,0.016527053,0.40073952,0.33996186,0.030975882,0.12880437
